product id,product name,category,warehouse,location,quantity,price,supplier,status,last restocked
1561, widget a ,CLOTHING,Warehouse 3,Aisle 2,50.0,49.99,Supplier A,Out of Stock,2022-12-20
1871, gadget z ,CLOTHING,Warehouse 1,Aisle 3,50.0,49.99,Supplier D,Out of Stock,2022-12-20
1387, widget a ,FURNITURE,Warehouse 2,Aisle 2,0.0,29.99,Supplier D,In Stock,2022-12-20
1001, gadget x ,TOYS,Warehouse 3,Aisle 3,150.0,19.99,Supplier C,Low Stock,2023-04-25
1389, gadget z ,FURNITURE,Warehouse 2,Aisle 5,100.0,29.99,Supplier D,Out of Stock,2023-03-05
1565, widget b ,CLOTHING,Warehouse 3,Aisle 5,0.0,49.99,Supplier C,In Stock,2022-12-20
1105, widget c ,FURNITURE,Warehouse 1,Aisle 2,0.0,49.99,Supplier B,Out of Stock,2023-01-15
1771, widget a ,TOYS,Warehouse 3,Aisle 5,0.0,19.99,Supplier C,Out of Stock,2023-01-15
1821, gadget y ,TOYS,Warehouse 2,Aisle 2,50.0,49.99,Supplier D,Low Stock,2022-12-20
1476, gadget y ,TOYS,Warehouse 1,Aisle 5,0.0,29.99,Supplier B,Out of Stock,2023-03-05
1702, gadget x ,ELECTRONICS,Warehouse 3,Aisle 5,100.0,29.99,Supplier C,Out of Stock,2023-01-15
1401, widget b ,FURNITURE,Warehouse 3,Aisle 2,150.0,49.99,Supplier D,In Stock,2022-12-20
1729, widget a ,CLOTHING,Warehouse 3,Aisle 4,150.0,19.99,Supplier A,In Stock,2023-04-25
1555, widget b ,CLOTHING,Warehouse 2,Aisle 5,0.0,19.99,Supplier A,Low Stock,2022-12-20
1161, widget a ,CLOTHING,Warehouse 2,Aisle 3,0.0,19.99,Supplier C,In Stock,2022-12-20
1201, gadget x ,ELECTRONICS,Warehouse 3,Aisle 4,100.0,9.99,Supplier C,In Stock,2022-12-20
1957, gadget x ,ELECTRONICS,Warehouse 1,Aisle 2,150.0,49.99,Supplier A,Low Stock,2022-12-20
1995, gadget y ,TOYS,Warehouse 1,Aisle 4,300.0,19.99,Supplier D,Out of Stock,2022-12-20
1269, widget b ,CLOTHING,Warehouse 2,Aisle 1,150.0,29.99,Supplier D,Low Stock,2022-12-20
1862, gadget z ,ELECTRONICS,Warehouse 1,Aisle 1,0.0,29.99,Supplier D,In Stock,2022-12-20
1815, gadget y ,TOYS,Warehouse 2,Aisle 5,300.0,29.99,Supplier C,Low Stock,2022-12-20
1270, widget b ,CLOTHING,Warehouse 3,Aisle 5,0.0,19.99,Supplier B,Out of Stock,2023-04-25
1455, gadget y ,FURNITURE,Warehouse 2,Aisle 3,100.0,29.99,Supplier B,Low Stock,2023-03-05
1461, gadget z ,TOYS,Warehouse 2,Aisle 4,0.0,29.99,Supplier B,In Stock,2023-01-15
1726, widget c ,ELECTRONICS,Warehouse 3,Aisle 1,0.0,9.99,Supplier B,In Stock,2023-01-15
1251, widget c ,ELECTRONICS,Warehouse 1,Aisle 5,100.0,29.99,Supplier B,Low Stock,2022-12-20
1701, widget c ,TOYS,Warehouse 2,Aisle 4,100.0,29.99,Supplier C,Out of Stock,2023-04-25
1295, widget c ,TOYS,Warehouse 2,Aisle 5,150.0,9.99,Supplier C,Low Stock,2022-12-20
1724, widget a ,ELECTRONICS,Warehouse 3,Aisle 5,150.0,9.99,Supplier B,Out of Stock,2023-01-15
1719, widget c ,FURNITURE,Warehouse 1,Aisle 1,100.0,29.99,Supplier C,Out of Stock,2022-12-20
1748, gadget z ,CLOTHING,Warehouse 2,Aisle 1,300.0,49.99,Supplier C,Low Stock,2023-03-05
1337, gadget x ,FURNITURE,Warehouse 3,Aisle 5,50.0,29.99,Supplier B,Out of Stock,2023-04-25
1878, gadget x ,TOYS,Warehouse 2,Aisle 2,150.0,9.99,Supplier D,In Stock,2022-12-20
1052, widget a ,FURNITURE,Warehouse 3,Aisle 5,50.0,29.99,Supplier C,Low Stock,2023-03-05
1791, widget c ,ELECTRONICS,Warehouse 1,Aisle 5,300.0,29.99,Supplier D,Out of Stock,2023-04-25
1921, widget c ,TOYS,Warehouse 1,Aisle 3,100.0,49.99,Supplier C,In Stock,2023-04-25
1216, widget c ,CLOTHING,Warehouse 1,Aisle 3,300.0,29.99,Supplier C,Low Stock,2023-01-15
1763, gadget y ,ELECTRONICS,Warehouse 1,Aisle 3,150.0,19.99,Supplier B,In Stock,2022-12-20
1187, widget b ,ELECTRONICS,Warehouse 2,Aisle 2,0.0,29.99,Supplier C,In Stock,2023-04-25
1379, gadget y ,CLOTHING,Warehouse 2,Aisle 2,100.0,9.99,Supplier A,In Stock,2023-04-25
1492, widget b ,CLOTHING,Warehouse 1,Aisle 5,0.0,29.99,Supplier A,Out of Stock,2023-03-05
1040, widget c ,FURNITURE,Warehouse 1,Aisle 3,50.0,29.99,Supplier B,Low Stock,2023-01-15
1156, widget c ,TOYS,Warehouse 1,Aisle 2,300.0,9.99,Supplier D,Low Stock,2022-12-20
1014, gadget y ,CLOTHING,Warehouse 2,Aisle 1,100.0,19.99,Supplier D,Out of Stock,2023-01-15
1812, gadget y ,CLOTHING,Warehouse 1,Aisle 5,300.0,9.99,Supplier D,Low Stock,2022-12-20
1064, widget b ,TOYS,Warehouse 1,Aisle 4,100.0,29.99,Supplier A,In Stock,2022-12-20
1856, gadget x ,CLOTHING,Warehouse 1,Aisle 5,150.0,9.99,Supplier D,Low Stock,2022-12-20
1838, widget b ,CLOTHING,Warehouse 3,Aisle 4,150.0,9.99,Supplier D,Out of Stock,2023-04-25
1520, gadget y ,FURNITURE,Warehouse 1,Aisle 3,150.0,19.99,Supplier B,In Stock,2022-12-20
1343, gadget z ,ELECTRONICS,Warehouse 3,Aisle 4,300.0,29.99,Supplier D,Out of Stock,2023-04-25
1128, gadget y ,ELECTRONICS,Warehouse 3,Aisle 3,0.0,49.99,Supplier A,In Stock,2023-01-15
1647, gadget z ,ELECTRONICS,Warehouse 1,Aisle 1,150.0,49.99,Supplier A,In Stock,2022-12-20
1471, widget a ,ELECTRONICS,Warehouse 3,Aisle 4,100.0,29.99,Supplier A,Low Stock,2023-01-15
1062, gadget y ,CLOTHING,Warehouse 1,Aisle 5,150.0,9.99,Supplier B,In Stock,2023-01-15
1138, widget a ,TOYS,Warehouse 2,Aisle 3,0.0,29.99,Supplier B,Out of Stock,2022-12-20
1498, gadget x ,TOYS,Warehouse 2,Aisle 5,150.0,19.99,Supplier C,Low Stock,2023-01-15
1592, widget b ,FURNITURE,Warehouse 2,Aisle 2,300.0,49.99,Supplier D,Out of Stock,2022-12-20
1391, gadget z ,FURNITURE,Warehouse 2,Aisle 3,0.0,9.99,Supplier B,In Stock,2022-12-20
1674, widget b ,CLOTHING,Warehouse 3,Aisle 4,0.0,19.99,Supplier A,Out of Stock,2022-12-20
1418, widget a ,TOYS,Warehouse 1,Aisle 3,300.0,19.99,Supplier A,Out of Stock,2022-12-20
1288, gadget z ,TOYS,Warehouse 1,Aisle 5,300.0,9.99,Supplier B,In Stock,2023-01-15
1378, widget b ,ELECTRONICS,Warehouse 1,Aisle 1,300.0,19.99,Supplier B,Low Stock,2023-03-05
1772, gadget y ,CLOTHING,Warehouse 2,Aisle 3,100.0,9.99,Supplier B,Out of Stock,2022-12-20
1489, widget c ,CLOTHING,Warehouse 2,Aisle 4,300.0,9.99,Supplier C,In Stock,2023-01-15
1230, widget a ,ELECTRONICS,Warehouse 1,Aisle 2,100.0,29.99,Supplier A,Low Stock,2023-04-25
1040, widget b ,CLOTHING,Warehouse 2,Aisle 1,300.0,29.99,Supplier C,Low Stock,2022-12-20
1027, widget a ,CLOTHING,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Low Stock,2022-12-20
1134, widget a ,FURNITURE,Warehouse 1,Aisle 3,0.0,19.99,Supplier D,Out of Stock,2023-03-05
1200, gadget z ,TOYS,Warehouse 1,Aisle 5,50.0,29.99,Supplier A,Out of Stock,2022-12-20
1839, gadget z ,CLOTHING,Warehouse 1,Aisle 5,300.0,29.99,Supplier A,Out of Stock,2022-12-20
1779, widget c ,FURNITURE,Warehouse 1,Aisle 4,0.0,29.99,Supplier B,Low Stock,2022-12-20
1929, gadget y ,TOYS,Warehouse 1,Aisle 5,0.0,49.99,Supplier B,Out of Stock,2023-01-15
1032, widget a ,ELECTRONICS,Warehouse 1,Aisle 1,0.0,49.99,Supplier D,In Stock,2023-04-25
1047, widget b ,FURNITURE,Warehouse 2,Aisle 5,50.0,49.99,Supplier C,Out of Stock,2023-04-25
1502, gadget x ,FURNITURE,Warehouse 1,Aisle 4,0.0,9.99,Supplier B,Out of Stock,2023-01-15
1406, widget a ,TOYS,Warehouse 1,Aisle 3,0.0,19.99,Supplier B,Low Stock,2022-12-20
1573, widget a ,ELECTRONICS,Warehouse 2,Aisle 3,100.0,29.99,Supplier A,Out of Stock,2023-04-25
1727, widget c ,FURNITURE,Warehouse 2,Aisle 5,0.0,9.99,Supplier A,In Stock,2022-12-20
1804, gadget y ,CLOTHING,Warehouse 2,Aisle 2,0.0,19.99,Supplier B,Low Stock,2023-01-15
1098, gadget x ,CLOTHING,Warehouse 1,Aisle 3,50.0,19.99,Supplier A,In Stock,2023-03-05
1683, gadget z ,CLOTHING,Warehouse 3,Aisle 5,300.0,29.99,Supplier D,Low Stock,2022-12-20
1871, gadget z ,ELECTRONICS,Warehouse 3,Aisle 4,300.0,29.99,Supplier B,Low Stock,2023-01-15
1725, widget b ,FURNITURE,Warehouse 2,Aisle 5,50.0,9.99,Supplier A,Out of Stock,2023-04-25
1986, gadget x ,CLOTHING,Warehouse 3,Aisle 3,300.0,29.99,Supplier D,In Stock,2022-12-20
1546, gadget z ,ELECTRONICS,Warehouse 2,Aisle 4,300.0,19.99,Supplier A,Low Stock,2022-12-20
1960, widget b ,CLOTHING,Warehouse 1,Aisle 5,0.0,29.99,Supplier A,Out of Stock,2022-12-20
1738, gadget y ,TOYS,Warehouse 3,Aisle 1,50.0,49.99,Supplier A,Low Stock,2022-12-20
1612, widget b ,FURNITURE,Warehouse 1,Aisle 4,150.0,29.99,Supplier B,Low Stock,2022-12-20
1942, gadget z ,FURNITURE,Warehouse 3,Aisle 1,100.0,19.99,Supplier C,Low Stock,2022-12-20
1461, widget c ,ELECTRONICS,Warehouse 1,Aisle 2,100.0,9.99,Supplier A,Low Stock,2022-12-20
1642, widget c ,ELECTRONICS,Warehouse 3,Aisle 4,300.0,29.99,Supplier D,Low Stock,2022-12-20
1768, widget c ,FURNITURE,Warehouse 1,Aisle 1,100.0,29.99,Supplier B,Low Stock,2023-01-15
1004, gadget z ,CLOTHING,Warehouse 1,Aisle 3,50.0,19.99,Supplier B,Out of Stock,2022-12-20
1217, widget c ,CLOTHING,Warehouse 3,Aisle 3,50.0,29.99,Supplier D,Low Stock,2022-12-20
1502, gadget x ,TOYS,Warehouse 1,Aisle 2,0.0,29.99,Supplier A,In Stock,2022-12-20
1766, gadget y ,CLOTHING,Warehouse 1,Aisle 4,0.0,49.99,Supplier C,Out of Stock,2023-01-15
1397, widget b ,ELECTRONICS,Warehouse 1,Aisle 4,100.0,29.99,Supplier A,In Stock,2023-03-05
1870, widget b ,ELECTRONICS,Warehouse 3,Aisle 4,150.0,19.99,Supplier D,Low Stock,2023-03-05
1794, gadget z ,CLOTHING,Warehouse 3,Aisle 2,0.0,19.99,Supplier B,In Stock,2023-04-25
1392, widget c ,ELECTRONICS,Warehouse 1,Aisle 4,0.0,29.99,Supplier C,Low Stock,2022-12-20
1206, widget c ,FURNITURE,Warehouse 1,Aisle 3,50.0,29.99,Supplier B,Low Stock,2022-12-20
1014, widget a ,FURNITURE,Warehouse 3,Aisle 1,150.0,29.99,Supplier D,Out of Stock,2023-01-15
1857, gadget y ,CLOTHING,Warehouse 3,Aisle 3,300.0,29.99,Supplier A,Out of Stock,2023-03-05
1553, gadget x ,FURNITURE,Warehouse 1,Aisle 3,100.0,29.99,Supplier C,Low Stock,2023-04-25
1891, widget b ,FURNITURE,Warehouse 1,Aisle 1,0.0,49.99,Supplier B,Out of Stock,2023-01-15
1460, widget a ,TOYS,Warehouse 1,Aisle 3,150.0,29.99,Supplier B,In Stock,2022-12-20
1690, widget a ,TOYS,Warehouse 2,Aisle 2,150.0,9.99,Supplier B,Out of Stock,2023-03-05
1574, gadget z ,FURNITURE,Warehouse 3,Aisle 1,100.0,49.99,Supplier A,Out of Stock,2023-04-25
1863, widget b ,CLOTHING,Warehouse 2,Aisle 3,150.0,9.99,Supplier C,In Stock,2022-12-20
1742, gadget z ,TOYS,Warehouse 3,Aisle 5,150.0,29.99,Supplier A,Out of Stock,2023-03-05
1240, gadget x ,ELECTRONICS,Warehouse 3,Aisle 3,150.0,49.99,Supplier A,Low Stock,2023-04-25
1563, widget a ,ELECTRONICS,Warehouse 3,Aisle 2,0.0,49.99,Supplier A,In Stock,2023-01-15
1095, widget a ,ELECTRONICS,Warehouse 3,Aisle 4,100.0,19.99,Supplier D,Low Stock,2022-12-20
1899, gadget y ,CLOTHING,Warehouse 3,Aisle 3,150.0,29.99,Supplier D,In Stock,2023-04-25
1733, gadget x ,FURNITURE,Warehouse 3,Aisle 4,150.0,29.99,Supplier D,Low Stock,2023-04-25
1484, widget a ,ELECTRONICS,Warehouse 3,Aisle 5,0.0,49.99,Supplier C,Low Stock,2022-12-20
1406, gadget x ,CLOTHING,Warehouse 2,Aisle 3,100.0,29.99,Supplier A,Out of Stock,2023-03-05
1230, widget b ,TOYS,Warehouse 1,Aisle 1,50.0,49.99,Supplier A,Low Stock,2022-12-20
1748, widget c ,FURNITURE,Warehouse 1,Aisle 4,0.0,19.99,Supplier D,Out of Stock,2022-12-20
1654, widget a ,TOYS,Warehouse 2,Aisle 5,100.0,49.99,Supplier A,In Stock,2023-04-25
1170, gadget y ,CLOTHING,Warehouse 2,Aisle 1,150.0,29.99,Supplier A,Low Stock,2022-12-20
1540, widget b ,ELECTRONICS,Warehouse 2,Aisle 1,100.0,29.99,Supplier B,Low Stock,2023-03-05
1035, gadget x ,ELECTRONICS,Warehouse 2,Aisle 1,100.0,49.99,Supplier A,In Stock,2022-12-20
1524, gadget z ,CLOTHING,Warehouse 3,Aisle 1,300.0,49.99,Supplier B,In Stock,2023-01-15
1159, widget b ,ELECTRONICS,Warehouse 1,Aisle 3,100.0,49.99,Supplier A,Low Stock,2022-12-20
1838, widget a ,FURNITURE,Warehouse 3,Aisle 3,50.0,29.99,Supplier C,In Stock,2022-12-20
1698, gadget x ,CLOTHING,Warehouse 1,Aisle 3,100.0,29.99,Supplier D,Out of Stock,2023-01-15
1242, widget c ,TOYS,Warehouse 1,Aisle 5,50.0,29.99,Supplier B,In Stock,2022-12-20
1085, widget b ,CLOTHING,Warehouse 2,Aisle 5,150.0,29.99,Supplier D,In Stock,2022-12-20
1795, widget a ,FURNITURE,Warehouse 3,Aisle 5,50.0,49.99,Supplier B,Low Stock,2022-12-20
1577, gadget y ,FURNITURE,Warehouse 2,Aisle 2,150.0,19.99,Supplier B,Out of Stock,2022-12-20
1681, gadget z ,CLOTHING,Warehouse 3,Aisle 5,150.0,49.99,Supplier B,In Stock,2022-12-20
1556, gadget x ,CLOTHING,Warehouse 1,Aisle 3,50.0,49.99,Supplier C,Out of Stock,2023-04-25
1573, widget b ,ELECTRONICS,Warehouse 2,Aisle 3,0.0,29.99,Supplier A,Out of Stock,2022-12-20
1952, widget b ,FURNITURE,Warehouse 2,Aisle 2,0.0,29.99,Supplier B,Out of Stock,2022-12-20
1645, widget c ,CLOTHING,Warehouse 1,Aisle 2,100.0,49.99,Supplier C,Low Stock,2023-01-15
1795, widget c ,CLOTHING,Warehouse 1,Aisle 5,300.0,29.99,Supplier B,In Stock,2023-01-15
1027, gadget y ,FURNITURE,Warehouse 1,Aisle 4,0.0,9.99,Supplier A,Low Stock,2023-04-25
1619, gadget z ,CLOTHING,Warehouse 2,Aisle 2,100.0,29.99,Supplier B,In Stock,2022-12-20
1555, gadget y ,ELECTRONICS,Warehouse 3,Aisle 1,100.0,19.99,Supplier C,In Stock,2022-12-20
1339, widget a ,FURNITURE,Warehouse 2,Aisle 3,150.0,19.99,Supplier A,Low Stock,2022-12-20
1797, widget a ,ELECTRONICS,Warehouse 3,Aisle 1,100.0,49.99,Supplier C,Out of Stock,2023-01-15
1957, gadget y ,ELECTRONICS,Warehouse 2,Aisle 3,300.0,29.99,Supplier A,Out of Stock,2023-04-25
1330, gadget z ,ELECTRONICS,Warehouse 2,Aisle 3,100.0,49.99,Supplier A,In Stock,2023-01-15
1639, gadget y ,ELECTRONICS,Warehouse 1,Aisle 2,50.0,29.99,Supplier D,Low Stock,2023-01-15
1505, gadget z ,FURNITURE,Warehouse 3,Aisle 2,0.0,19.99,Supplier D,Out of Stock,2023-04-25
1347, gadget z ,ELECTRONICS,Warehouse 2,Aisle 1,50.0,49.99,Supplier D,Out of Stock,2022-12-20
1472, gadget x ,ELECTRONICS,Warehouse 2,Aisle 3,300.0,29.99,Supplier A,In Stock,2022-12-20
1230, gadget z ,CLOTHING,Warehouse 1,Aisle 1,100.0,49.99,Supplier B,In Stock,2022-12-20
1189, widget c ,FURNITURE,Warehouse 1,Aisle 4,300.0,29.99,Supplier C,Low Stock,2023-03-05
1224, gadget z ,FURNITURE,Warehouse 3,Aisle 1,150.0,29.99,Supplier C,In Stock,2023-03-05
1384, gadget z ,TOYS,Warehouse 2,Aisle 5,50.0,29.99,Supplier C,Out of Stock,2023-03-05
1376, gadget z ,FURNITURE,Warehouse 3,Aisle 1,50.0,29.99,Supplier D,Out of Stock,2023-04-25
1282, widget a ,FURNITURE,Warehouse 2,Aisle 5,0.0,9.99,Supplier A,Out of Stock,2023-01-15
1957, widget c ,TOYS,Warehouse 3,Aisle 5,100.0,29.99,Supplier D,Out of Stock,2022-12-20
