Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked,Restock Missing Flag,Stock Value,Days Since Restocked
1856,Gadget Y,Furniture,Warehouse 1,Aisle 3,50.0,9.99,Supplier B,In Stock,2022-12-20,0,499.5,1337.0
1560,Gadget Z,Electronics,Warehouse 1,Aisle 4,150.0,49.99,Supplier C,Low Stock,,1,7498.5,
1474,Widget A,Furniture,Warehouse 2,Aisle 4,0.0,29.99,Supplier D,Out of Stock,2023-03-05,0,0.0,1262.0
1058,Gadget Z,Furniture,Warehouse 1,Aisle 1,150.0,29.99,Supplier C,In Stock,2023-01-15,0,4498.5,1311.0
1510,Widget A,Electronics,Warehouse 2,Aisle 3,0.0,29.99,Supplier D,In Stock,,1,0.0,
1681,Widget C,Furniture,Warehouse 1,Aisle 2,50.0,29.99,Supplier D,In Stock,2023-04-25,0,1499.5,1211.0
1475,Gadget Y,Furniture,Warehouse 3,Aisle 3,50.0,29.99,Supplier D,Out of Stock,2023-03-05,0,1499.5,1262.0
1699,Gadget Y,Clothing,Warehouse 1,Aisle 1,0.0,9.99,Supplier B,Out of Stock,,1,0.0,
1975,Gadget X,Toys,Warehouse 1,Aisle 4,300.0,29.99,Supplier C,Low Stock,2023-01-15,0,8997.0,1311.0
1782,Gadget Z,Furniture,Warehouse 3,Aisle 4,0.0,29.99,Supplier C,Out of Stock,2022-12-20,0,0.0,1337.0
1189,Widget A,Furniture,Warehouse 2,Aisle 1,0.0,29.99,Supplier A,Low Stock,2023-04-25,0,0.0,1211.0
1957,Widget A,Furniture,Warehouse 2,Aisle 2,0.0,29.99,Supplier A,Low Stock,2023-01-15,0,0.0,1311.0
1686,Widget B,Clothing,Warehouse 1,Aisle 4,0.0,29.99,Supplier A,Low Stock,2023-03-05,0,0.0,1262.0
1562,Widget B,Electronics,Warehouse 2,Aisle 4,150.0,29.99,Supplier C,Low Stock,2022-12-20,0,4498.5,1337.0
1875,Widget B,Clothing,Warehouse 1,Aisle 5,0.0,49.99,Supplier D,In Stock,2022-12-20,0,0.0,1337.0
1566,Widget B,Clothing,Warehouse 3,Aisle 1,0.0,49.99,Supplier D,Out of Stock,2023-04-25,0,0.0,1211.0
1243,Gadget Z,Toys,Warehouse 2,Aisle 1,0.0,9.99,Supplier B,In Stock,2023-04-25,0,0.0,1211.0
1831,Gadget Z,Toys,Warehouse 2,Aisle 4,300.0,29.99,Supplier D,Low Stock,2022-12-20,0,8997.0,1337.0
1504,Widget C,Clothing,Warehouse 3,Aisle 3,50.0,19.99,Supplier C,Out of Stock,2022-12-20,0,999.4999999999999,1337.0
1484,Widget B,Clothing,Warehouse 3,Aisle 2,100.0,29.99,Supplier C,In Stock,2022-12-20,0,2999.0,1337.0
1818,Gadget X,Toys,Warehouse 3,Aisle 4,150.0,29.99,Supplier B,Low Stock,,1,4498.5,
1646,Widget A,Electronics,Warehouse 1,Aisle 2,0.0,49.99,Supplier A,In Stock,2023-01-15,0,0.0,1311.0
1840,Gadget X,Electronics,Warehouse 2,Aisle 3,150.0,49.99,Supplier C,In Stock,2023-04-25,0,7498.5,1211.0
1166,Gadget Y,Furniture,Warehouse 2,Aisle 3,50.0,29.99,Supplier C,In Stock,,1,1499.5,
1273,Gadget Z,Toys,Warehouse 1,Aisle 3,300.0,29.99,Supplier A,In Stock,2023-04-25,0,8997.0,1211.0
1387,Gadget Z,Toys,Warehouse 2,Aisle 3,0.0,29.99,Supplier C,Low Stock,,1,0.0,
1600,Widget C,Clothing,Warehouse 2,Aisle 1,0.0,29.99,Supplier D,Low Stock,2022-12-20,0,0.0,1337.0
1315,Widget A,Toys,Warehouse 3,Aisle 1,100.0,49.99,Supplier B,In Stock,2023-01-15,0,4999.0,1311.0
1013,Widget A,Toys,Warehouse 2,Aisle 5,50.0,19.99,Supplier C,Low Stock,2023-04-25,0,999.4999999999999,1211.0
1241,Gadget Y,Furniture,Warehouse 1,Aisle 2,300.0,29.99,Supplier D,Low Stock,,1,8997.0,
1776,Gadget Y,Toys,Warehouse 3,Aisle 4,300.0,49.99,Supplier C,Out of Stock,2023-03-05,0,14997.0,1262.0
1345,Gadget Z,Furniture,Warehouse 3,Aisle 4,0.0,19.99,Supplier A,In Stock,2022-12-20,0,0.0,1337.0
1564,Widget B,Furniture,Warehouse 1,Aisle 1,100.0,29.99,Supplier C,Low Stock,2023-01-15,0,2999.0,1311.0
1897,Widget C,Furniture,Warehouse 3,Aisle 4,100.0,29.99,Supplier C,Low Stock,2022-12-20,0,2999.0,1337.0
1339,Widget C,Furniture,Warehouse 3,Aisle 1,300.0,9.99,Supplier B,In Stock,2023-03-05,0,2997.0,1262.0
1091,Gadget Z,Electronics,Warehouse 1,Aisle 5,300.0,49.99,Supplier A,Out of Stock,2023-01-15,0,14997.0,1311.0
1366,Gadget X,Clothing,Warehouse 3,Aisle 2,150.0,19.99,Supplier A,In Stock,2023-03-05,0,2998.4999999999995,1262.0
1454,Gadget Z,Toys,Warehouse 1,Aisle 3,150.0,29.99,Supplier C,In Stock,,1,4498.5,
1427,Widget B,Electronics,Warehouse 2,Aisle 3,100.0,19.99,Supplier D,In Stock,2022-12-20,0,1998.9999999999998,1337.0
1508,Widget B,Electronics,Warehouse 2,Aisle 3,0.0,49.99,Supplier A,In Stock,2022-12-20,0,0.0,1337.0
1775,Widget B,Toys,Warehouse 3,Aisle 5,0.0,9.99,Supplier A,In Stock,2022-12-20,0,0.0,1337.0
1942,Gadget Z,Toys,Warehouse 3,Aisle 4,150.0,29.99,Supplier C,Out of Stock,2023-04-25,0,4498.5,1211.0
1034,Widget C,Toys,Warehouse 1,Aisle 2,0.0,19.99,Supplier C,Out of Stock,2023-03-05,0,0.0,1262.0
1205,Widget C,Electronics,Warehouse 3,Aisle 3,50.0,19.99,Supplier A,Low Stock,2023-03-05,0,999.4999999999999,1262.0
1080,Widget B,Electronics,Warehouse 1,Aisle 3,150.0,19.99,Supplier C,In Stock,2023-03-05,0,2998.4999999999995,1262.0
1931,Gadget X,Toys,Warehouse 1,Aisle 3,0.0,49.99,Supplier D,Out of Stock,2023-04-25,0,0.0,1211.0
1561,Widget A,Clothing,Warehouse 3,Aisle 2,50.0,49.99,Supplier A,Out of Stock,,1,2499.5,
1001,Gadget X,Toys,Warehouse 3,Aisle 3,150.0,19.99,Supplier C,Low Stock,2023-04-25,0,2998.4999999999995,1211.0
1389,Gadget Z,Furniture,Warehouse 2,Aisle 5,100.0,29.99,Supplier D,Out of Stock,2023-03-05,0,2999.0,1262.0
1565,Widget B,Clothing,Warehouse 3,Aisle 5,0.0,49.99,Supplier C,In Stock,2022-12-20,0,0.0,1337.0
1105,Widget C,Furniture,Warehouse 1,Aisle 2,0.0,49.99,Supplier B,Out of Stock,2023-01-15,0,0.0,1311.0
1771,Widget A,Toys,Warehouse 3,Aisle 5,0.0,19.99,Supplier C,Out of Stock,2023-01-15,0,0.0,1311.0
1821,Gadget Y,Toys,Warehouse 2,Aisle 2,50.0,49.99,Supplier D,Low Stock,,1,2499.5,
1476,Gadget Y,Toys,Warehouse 1,Aisle 5,0.0,29.99,Supplier B,Out of Stock,2023-03-05,0,0.0,1262.0
1702,Gadget X,Electronics,Warehouse 3,Aisle 5,100.0,29.99,Supplier C,Out of Stock,2023-01-15,0,2999.0,1311.0
1401,Widget B,Furniture,Warehouse 3,Aisle 2,150.0,49.99,Supplier D,In Stock,,1,7498.5,
1729,Widget A,Clothing,Warehouse 3,Aisle 4,150.0,19.99,Supplier A,In Stock,2023-04-25,0,2998.4999999999995,1211.0
1555,Widget B,Clothing,Warehouse 2,Aisle 5,0.0,19.99,Supplier A,Low Stock,,1,0.0,
1161,Widget A,Clothing,Warehouse 2,Aisle 3,0.0,19.99,Supplier C,In Stock,,1,0.0,
1201,Gadget X,Electronics,Warehouse 3,Aisle 4,100.0,9.99,Supplier C,In Stock,,1,999.0,
1995,Gadget Y,Toys,Warehouse 1,Aisle 4,300.0,19.99,Supplier D,Out of Stock,,1,5996.999999999999,
1269,Widget B,Clothing,Warehouse 2,Aisle 1,150.0,29.99,Supplier D,Low Stock,,1,4498.5,
1862,Gadget Z,Electronics,Warehouse 1,Aisle 1,0.0,29.99,Supplier D,In Stock,2022-12-20,0,0.0,1337.0
1815,Gadget Y,Toys,Warehouse 2,Aisle 5,300.0,29.99,Supplier C,Low Stock,2022-12-20,0,8997.0,1337.0
1455,Gadget Y,Furniture,Warehouse 2,Aisle 3,100.0,29.99,Supplier B,Low Stock,2023-03-05,0,2999.0,1262.0
1461,Gadget Z,Toys,Warehouse 2,Aisle 4,0.0,29.99,Supplier B,In Stock,2023-01-15,0,0.0,1311.0
1726,Widget C,Electronics,Warehouse 3,Aisle 1,0.0,9.99,Supplier B,In Stock,2023-01-15,0,0.0,1311.0
1251,Widget C,Electronics,Warehouse 1,Aisle 5,100.0,29.99,Supplier B,Low Stock,,1,2999.0,
1701,Widget C,Toys,Warehouse 2,Aisle 4,100.0,29.99,Supplier C,Out of Stock,2023-04-25,0,2999.0,1211.0
1295,Widget C,Toys,Warehouse 2,Aisle 5,150.0,9.99,Supplier C,Low Stock,,1,1498.5,
1724,Widget A,Electronics,Warehouse 3,Aisle 5,150.0,9.99,Supplier B,Out of Stock,2023-01-15,0,1498.5,1311.0
1719,Widget C,Furniture,Warehouse 1,Aisle 1,100.0,29.99,Supplier C,Out of Stock,2022-12-20,0,2999.0,1337.0
1748,Gadget Z,Clothing,Warehouse 2,Aisle 1,300.0,49.99,Supplier C,Low Stock,2023-03-05,0,14997.0,1262.0
1337,Gadget X,Furniture,Warehouse 3,Aisle 5,50.0,29.99,Supplier B,Out of Stock,2023-04-25,0,1499.5,1211.0
1878,Gadget X,Toys,Warehouse 2,Aisle 2,150.0,9.99,Supplier D,In Stock,2022-12-20,0,1498.5,1337.0
1052,Widget A,Furniture,Warehouse 3,Aisle 5,50.0,29.99,Supplier C,Low Stock,2023-03-05,0,1499.5,1262.0
1791,Widget C,Electronics,Warehouse 1,Aisle 5,300.0,29.99,Supplier D,Out of Stock,2023-04-25,0,8997.0,1211.0
1921,Widget C,Toys,Warehouse 1,Aisle 3,100.0,49.99,Supplier C,In Stock,2023-04-25,0,4999.0,1211.0
1216,Widget C,Clothing,Warehouse 1,Aisle 3,300.0,29.99,Supplier C,Low Stock,2023-01-15,0,8997.0,1311.0
1763,Gadget Y,Electronics,Warehouse 1,Aisle 3,150.0,19.99,Supplier B,In Stock,2022-12-20,0,2998.4999999999995,1337.0
1187,Widget B,Electronics,Warehouse 2,Aisle 2,0.0,29.99,Supplier C,In Stock,2023-04-25,0,0.0,1211.0
1379,Gadget Y,Clothing,Warehouse 2,Aisle 2,100.0,9.99,Supplier A,In Stock,2023-04-25,0,999.0,1211.0
1492,Widget B,Clothing,Warehouse 1,Aisle 5,0.0,29.99,Supplier A,Out of Stock,2023-03-05,0,0.0,1262.0
1040,Widget C,Furniture,Warehouse 1,Aisle 3,50.0,29.99,Supplier B,Low Stock,2023-01-15,0,1499.5,1311.0
1156,Widget C,Toys,Warehouse 1,Aisle 2,300.0,9.99,Supplier D,Low Stock,,1,2997.0,
1014,Gadget Y,Clothing,Warehouse 2,Aisle 1,100.0,19.99,Supplier D,Out of Stock,2023-01-15,0,1998.9999999999998,1311.0
1812,Gadget Y,Clothing,Warehouse 1,Aisle 5,300.0,9.99,Supplier D,Low Stock,,1,2997.0,
1064,Widget B,Toys,Warehouse 1,Aisle 4,100.0,29.99,Supplier A,In Stock,2022-12-20,0,2999.0,1337.0
1838,Widget B,Clothing,Warehouse 3,Aisle 4,150.0,9.99,Supplier D,Out of Stock,2023-04-25,0,1498.5,1211.0
1520,Gadget Y,Furniture,Warehouse 1,Aisle 3,150.0,19.99,Supplier B,In Stock,2022-12-20,0,2998.4999999999995,1337.0
1128,Gadget Y,Electronics,Warehouse 3,Aisle 3,0.0,49.99,Supplier A,In Stock,2023-01-15,0,0.0,1311.0
1647,Gadget Z,Electronics,Warehouse 1,Aisle 1,150.0,49.99,Supplier A,In Stock,2022-12-20,0,7498.5,1337.0
1471,Widget A,Electronics,Warehouse 3,Aisle 4,100.0,29.99,Supplier A,Low Stock,2023-01-15,0,2999.0,1311.0
1062,Gadget Y,Clothing,Warehouse 1,Aisle 5,150.0,9.99,Supplier B,In Stock,2023-01-15,0,1498.5,1311.0
1138,Widget A,Toys,Warehouse 2,Aisle 3,0.0,29.99,Supplier B,Out of Stock,2022-12-20,0,0.0,1337.0
1498,Gadget X,Toys,Warehouse 2,Aisle 5,150.0,19.99,Supplier C,Low Stock,2023-01-15,0,2998.4999999999995,1311.0
1592,Widget B,Furniture,Warehouse 2,Aisle 2,300.0,49.99,Supplier D,Out of Stock,2022-12-20,0,14997.0,1337.0
1391,Gadget Z,Furniture,Warehouse 2,Aisle 3,0.0,9.99,Supplier B,In Stock,2022-12-20,0,0.0,1337.0
1674,Widget B,Clothing,Warehouse 3,Aisle 4,0.0,19.99,Supplier A,Out of Stock,2022-12-20,0,0.0,1337.0
1418,Widget A,Toys,Warehouse 1,Aisle 3,300.0,19.99,Supplier A,Out of Stock,,1,5996.999999999999,
1288,Gadget Z,Toys,Warehouse 1,Aisle 5,300.0,9.99,Supplier B,In Stock,2023-01-15,0,2997.0,1311.0
1378,Widget B,Electronics,Warehouse 1,Aisle 1,300.0,19.99,Supplier B,Low Stock,2023-03-05,0,5996.999999999999,1262.0
1772,Gadget Y,Clothing,Warehouse 2,Aisle 3,100.0,9.99,Supplier B,Out of Stock,2022-12-20,0,999.0,1337.0
1489,Widget C,Clothing,Warehouse 2,Aisle 4,300.0,9.99,Supplier C,In Stock,2023-01-15,0,2997.0,1311.0
1230,Widget A,Electronics,Warehouse 1,Aisle 2,100.0,29.99,Supplier A,Low Stock,2023-04-25,0,2999.0,1211.0
1027,Widget A,Clothing,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Low Stock,2022-12-20,0,999.4999999999999,1337.0
1134,Widget A,Furniture,Warehouse 1,Aisle 3,0.0,19.99,Supplier D,Out of Stock,2023-03-05,0,0.0,1262.0
1200,Gadget Z,Toys,Warehouse 1,Aisle 5,50.0,29.99,Supplier A,Out of Stock,,1,1499.5,
1839,Gadget Z,Clothing,Warehouse 1,Aisle 5,300.0,29.99,Supplier A,Out of Stock,,1,8997.0,
1779,Widget C,Furniture,Warehouse 1,Aisle 4,0.0,29.99,Supplier B,Low Stock,2022-12-20,0,0.0,1337.0
1929,Gadget Y,Toys,Warehouse 1,Aisle 5,0.0,49.99,Supplier B,Out of Stock,2023-01-15,0,0.0,1311.0
1032,Widget A,Electronics,Warehouse 1,Aisle 1,0.0,49.99,Supplier D,In Stock,2023-04-25,0,0.0,1211.0
1047,Widget B,Furniture,Warehouse 2,Aisle 5,50.0,49.99,Supplier C,Out of Stock,2023-04-25,0,2499.5,1211.0
1502,Gadget X,Furniture,Warehouse 1,Aisle 4,0.0,9.99,Supplier B,Out of Stock,2023-01-15,0,0.0,1311.0
1406,Widget A,Toys,Warehouse 1,Aisle 3,0.0,19.99,Supplier B,Low Stock,2022-12-20,0,0.0,1337.0
1573,Widget A,Electronics,Warehouse 2,Aisle 3,100.0,29.99,Supplier A,Out of Stock,2023-04-25,0,2999.0,1211.0
1727,Widget C,Furniture,Warehouse 2,Aisle 5,0.0,9.99,Supplier A,In Stock,,1,0.0,
1804,Gadget Y,Clothing,Warehouse 2,Aisle 2,0.0,19.99,Supplier B,Low Stock,2023-01-15,0,0.0,1311.0
1098,Gadget X,Clothing,Warehouse 1,Aisle 3,50.0,19.99,Supplier A,In Stock,2023-03-05,0,999.4999999999999,1262.0
1683,Gadget Z,Clothing,Warehouse 3,Aisle 5,300.0,29.99,Supplier D,Low Stock,2022-12-20,0,8997.0,1337.0
1725,Widget B,Furniture,Warehouse 2,Aisle 5,50.0,9.99,Supplier A,Out of Stock,2023-04-25,0,499.5,1211.0
1986,Gadget X,Clothing,Warehouse 3,Aisle 3,300.0,29.99,Supplier D,In Stock,2022-12-20,0,8997.0,1337.0
1546,Gadget Z,Electronics,Warehouse 2,Aisle 4,300.0,19.99,Supplier A,Low Stock,,1,5996.999999999999,
1960,Widget B,Clothing,Warehouse 1,Aisle 5,0.0,29.99,Supplier A,Out of Stock,2022-12-20,0,0.0,1337.0
1738,Gadget Y,Toys,Warehouse 3,Aisle 1,50.0,49.99,Supplier A,Low Stock,2022-12-20,0,2499.5,1337.0
1612,Widget B,Furniture,Warehouse 1,Aisle 4,150.0,29.99,Supplier B,Low Stock,,1,4498.5,
1642,Widget C,Electronics,Warehouse 3,Aisle 4,300.0,29.99,Supplier D,Low Stock,,1,8997.0,
1768,Widget C,Furniture,Warehouse 1,Aisle 1,100.0,29.99,Supplier B,Low Stock,2023-01-15,0,2999.0,1311.0
1004,Gadget Z,Clothing,Warehouse 1,Aisle 3,50.0,19.99,Supplier B,Out of Stock,,1,999.4999999999999,
1217,Widget C,Clothing,Warehouse 3,Aisle 3,50.0,29.99,Supplier D,Low Stock,,1,1499.5,
1766,Gadget Y,Clothing,Warehouse 1,Aisle 4,0.0,49.99,Supplier C,Out of Stock,2023-01-15,0,0.0,1311.0
1397,Widget B,Electronics,Warehouse 1,Aisle 4,100.0,29.99,Supplier A,In Stock,2023-03-05,0,2999.0,1262.0
1870,Widget B,Electronics,Warehouse 3,Aisle 4,150.0,19.99,Supplier D,Low Stock,2023-03-05,0,2998.4999999999995,1262.0
1794,Gadget Z,Clothing,Warehouse 3,Aisle 2,0.0,19.99,Supplier B,In Stock,2023-04-25,0,0.0,1211.0
1392,Widget C,Electronics,Warehouse 1,Aisle 4,0.0,29.99,Supplier C,Low Stock,,1,0.0,
1206,Widget C,Furniture,Warehouse 1,Aisle 3,50.0,29.99,Supplier B,Low Stock,,1,1499.5,
1857,Gadget Y,Clothing,Warehouse 3,Aisle 3,300.0,29.99,Supplier A,Out of Stock,2023-03-05,0,8997.0,1262.0
1553,Gadget X,Furniture,Warehouse 1,Aisle 3,100.0,29.99,Supplier C,Low Stock,2023-04-25,0,2999.0,1211.0
1891,Widget B,Furniture,Warehouse 1,Aisle 1,0.0,49.99,Supplier B,Out of Stock,2023-01-15,0,0.0,1311.0
1460,Widget A,Toys,Warehouse 1,Aisle 3,150.0,29.99,Supplier B,In Stock,,1,4498.5,
1690,Widget A,Toys,Warehouse 2,Aisle 2,150.0,9.99,Supplier B,Out of Stock,2023-03-05,0,1498.5,1262.0
1574,Gadget Z,Furniture,Warehouse 3,Aisle 1,100.0,49.99,Supplier A,Out of Stock,2023-04-25,0,4999.0,1211.0
1863,Widget B,Clothing,Warehouse 2,Aisle 3,150.0,9.99,Supplier C,In Stock,2022-12-20,0,1498.5,1337.0
1742,Gadget Z,Toys,Warehouse 3,Aisle 5,150.0,29.99,Supplier A,Out of Stock,2023-03-05,0,4498.5,1262.0
1240,Gadget X,Electronics,Warehouse 3,Aisle 3,150.0,49.99,Supplier A,Low Stock,2023-04-25,0,7498.5,1211.0
1563,Widget A,Electronics,Warehouse 3,Aisle 2,0.0,49.99,Supplier A,In Stock,2023-01-15,0,0.0,1311.0
1095,Widget A,Electronics,Warehouse 3,Aisle 4,100.0,19.99,Supplier D,Low Stock,2022-12-20,0,1998.9999999999998,1337.0
1899,Gadget Y,Clothing,Warehouse 3,Aisle 3,150.0,29.99,Supplier D,In Stock,2023-04-25,0,4498.5,1211.0
1733,Gadget X,Furniture,Warehouse 3,Aisle 4,150.0,29.99,Supplier D,Low Stock,2023-04-25,0,4498.5,1211.0
1654,Widget A,Toys,Warehouse 2,Aisle 5,100.0,49.99,Supplier A,In Stock,2023-04-25,0,4999.0,1211.0
1170,Gadget Y,Clothing,Warehouse 2,Aisle 1,150.0,29.99,Supplier A,Low Stock,,1,4498.5,
1540,Widget B,Electronics,Warehouse 2,Aisle 1,100.0,29.99,Supplier B,Low Stock,2023-03-05,0,2999.0,1262.0
1035,Gadget X,Electronics,Warehouse 2,Aisle 1,100.0,49.99,Supplier A,In Stock,2022-12-20,0,4999.0,1337.0
1524,Gadget Z,Clothing,Warehouse 3,Aisle 1,300.0,49.99,Supplier B,In Stock,2023-01-15,0,14997.0,1311.0
1159,Widget B,Electronics,Warehouse 1,Aisle 3,100.0,49.99,Supplier A,Low Stock,,1,4999.0,
1698,Gadget X,Clothing,Warehouse 1,Aisle 3,100.0,29.99,Supplier D,Out of Stock,2023-01-15,0,2999.0,1311.0
1242,Widget C,Toys,Warehouse 1,Aisle 5,50.0,29.99,Supplier B,In Stock,,1,1499.5,
1085,Widget B,Clothing,Warehouse 2,Aisle 5,150.0,29.99,Supplier D,In Stock,2022-12-20,0,4498.5,1337.0
1795,Widget A,Furniture,Warehouse 3,Aisle 5,50.0,49.99,Supplier B,Low Stock,2022-12-20,0,2499.5,1337.0
1577,Gadget Y,Furniture,Warehouse 2,Aisle 2,150.0,19.99,Supplier B,Out of Stock,,1,2998.4999999999995,
1556,Gadget X,Clothing,Warehouse 1,Aisle 3,50.0,49.99,Supplier C,Out of Stock,2023-04-25,0,2499.5,1211.0
1952,Widget B,Furniture,Warehouse 2,Aisle 2,0.0,29.99,Supplier B,Out of Stock,2022-12-20,0,0.0,1337.0
1645,Widget C,Clothing,Warehouse 1,Aisle 2,100.0,49.99,Supplier C,Low Stock,2023-01-15,0,4999.0,1311.0
1619,Gadget Z,Clothing,Warehouse 2,Aisle 2,100.0,29.99,Supplier B,In Stock,,1,2999.0,
1797,Widget A,Electronics,Warehouse 3,Aisle 1,100.0,49.99,Supplier C,Out of Stock,2023-01-15,0,4999.0,1311.0
1639,Gadget Y,Electronics,Warehouse 1,Aisle 2,50.0,29.99,Supplier D,Low Stock,2023-01-15,0,1499.5,1311.0
1505,Gadget Z,Furniture,Warehouse 3,Aisle 2,0.0,19.99,Supplier D,Out of Stock,2023-04-25,0,0.0,1211.0
1347,Gadget Z,Electronics,Warehouse 2,Aisle 1,50.0,49.99,Supplier D,Out of Stock,,1,2499.5,
1472,Gadget X,Electronics,Warehouse 2,Aisle 3,300.0,29.99,Supplier A,In Stock,2022-12-20,0,8997.0,1337.0
1224,Gadget Z,Furniture,Warehouse 3,Aisle 1,150.0,29.99,Supplier C,In Stock,2023-03-05,0,4498.5,1262.0
1384,Gadget Z,Toys,Warehouse 2,Aisle 5,50.0,29.99,Supplier C,Out of Stock,2023-03-05,0,1499.5,1262.0
1376,Gadget Z,Furniture,Warehouse 3,Aisle 1,50.0,29.99,Supplier D,Out of Stock,2023-04-25,0,1499.5,1211.0
1282,Widget A,Furniture,Warehouse 2,Aisle 5,0.0,9.99,Supplier A,Out of Stock,2023-01-15,0,0.0,1311.0
